GVKEY,LPERMNO,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,atq,ltq,costat,mkvaltq,conml
001447,59176,2010/03/31,2010,1,INDL,C,D,STD,USD,2010Q1,2010Q1,143314.0000,129889.0000,A,49388.2200,American Express Co
001447,59176,2010/06/30,2010,2,INDL,C,D,STD,USD,2010Q2,2010Q2,143763.0000,129250.0000,A,47719.4000,American Express Co
001447,59176,2010/09/30,2010,3,INDL,C,D,STD,USD,2010Q3,2010Q3,146056.0000,130136.0000,A,50604.1200,American Express Co
001447,59176,2010/12/31,2010,4,INDL,C,D,STD,USD,2010Q4,2010Q4,147042.0000,130812.0000,A,51375.2400,American Express Co
001447,59176,2011/03/31,2011,1,INDL,C,D,STD,USD,2011Q1,2011Q1,143979.0000,126497.0000,A,54330.4000,American Express Co
001447,59176,2011/06/30,2011,2,INDL,C,D,STD,USD,2011Q2,2011Q2,147796.0000,129591.0000,A,61678.1000,American Express Co
001447,59176,2011/09/30,2011,3,INDL,C,D,STD,USD,2011Q3,2011Q3,148693.0000,130593.0000,A,52488.1000,American Express Co
001447,59176,2011/12/31,2011,4,INDL,C,D,STD,USD,2011Q4,2011Q4,153337.0000,134543.0000,A,54905.8800,American Express Co
001447,59176,2012/03/31,2012,1,INDL,C,D,STD,USD,2012Q1,2012Q1,151784.0000,131877.0000,A,67464.7600,American Express Co
001447,59176,2012/06/30,2012,2,INDL,C,D,STD,USD,2012Q2,2012Q2,148128.0000,128861.0000,A,66301.1900,American Express Co
001447,59176,2012/09/30,2012,3,INDL,C,D,STD,USD,2012Q3,2012Q3,152873.0000,133395.0000,A,63796.9200,American Express Co
001447,59176,2012/12/31,2012,4,INDL,C,D,STD,USD,2012Q4,2012Q4,153140.0000,134254.0000,A,63515.4000,American Express Co
001447,59176,2013/03/31,2013,1,INDL,C,D,STD,USD,2013Q1,2013Q1,156855.0000,137565.0000,A,74071.0800,American Express Co
001447,59176,2013/06/30,2013,2,INDL,C,D,STD,USD,2013Q2,2013Q2,151933.0000,132899.0000,A,81039.8400,American Express Co
001447,59176,2013/09/30,2013,3,INDL,C,D,STD,USD,2013Q3,2013Q3,150103.0000,130887.0000,A,80881.9200,American Express Co
001447,59176,2013/12/31,2013,4,INDL,C,D,STD,USD,2013Q4,2013Q4,153375.0000,133879.0000,A,96536.7200,American Express Co
001447,59176,2014/03/31,2014,1,INDL,C,D,STD,USD,2014Q1,2014Q1,151497.0000,131520.0000,A,95341.7700,American Express Co
001447,59176,2014/06/30,2014,2,INDL,C,D,STD,USD,2014Q2,2014Q2,152384.0000,132171.0000,A,99234.0200,American Express Co
001447,59176,2014/09/30,2014,3,INDL,C,D,STD,USD,2014Q3,2014Q3,153862.0000,133646.0000,A,90603.9000,American Express Co
001447,59176,2014/12/31,2014,4,INDL,C,D,STD,USD,2014Q4,2014Q4,159103.0000,138430.0000,A,95179.9200,American Express Co
001447,59176,2015/03/31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,154684.0000,132854.0000,A,79369.9200,American Express Co
001447,59176,2015/06/30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,157152.0000,135267.0000,A,77875.4400,American Express Co
001447,59176,2015/09/30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,154216.0000,132881.0000,A,73018.0500,American Express Co
001447,59176,2015/12/31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,161184.0000,140511.0000,A,67393.9500,American Express Co
001447,59176,2016/03/31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,158816.0000,138089.0000,A,58391.4000,American Express Co
001447,59176,2016/06/30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,159642.0000,138930.0000,A,56203.0000,American Express Co
001447,59176,2016/09/30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,153377.0000,132360.0000,A,58724.6800,American Express Co
001447,59176,2016/12/31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,158893.0000,138392.0000,A,66968.3200,American Express Co
001690,14593,2010/03/31,2010,2,INDL,C,D,STD,USD,2010Q1,2010Q2,57057.0000,17709.0000,A,213764.4600,Apple Inc
001690,14593,2010/06/30,2010,3,INDL,C,D,STD,USD,2010Q2,2010Q3,64725.0000,21614.0000,A,229768.1275,Apple Inc
001690,14593,2010/09/30,2010,4,INDL,C,D,STD,USD,2010Q3,2010Q4,75183.0000,27392.0000,A,259906.4875,Apple Inc
001690,14593,2010/12/31,2011,1,INDL,C,D,STD,USD,2010Q4,2011Q1,86742.0000,32076.0000,A,297089.0496,Apple Inc
001690,14593,2011/03/31,2011,2,INDL,C,D,STD,USD,2011Q1,2011Q2,94904.0000,33427.0000,A,322255.8241,Apple Inc
