GVKEY,LPERMNO,iid,datadate,trt1m,conml
001447,59176,01,2010/01/31,-6.6140,American Express Co
001447,59176,01,2010/02/28,1.4073,American Express Co
001447,59176,01,2010/03/31,8.5101,American Express Co
001447,59176,01,2010/04/30,11.7790,American Express Co
001447,59176,01,2010/05/31,-13.5516,American Express Co
001447,59176,01,2010/06/30,0.0251,American Express Co
001447,59176,01,2010/07/31,12.4433,American Express Co
001447,59176,01,2010/08/31,-10.6855,American Express Co
001447,59176,01,2010/09/30,5.4176,American Express Co
001447,59176,01,2010/10/31,-0.9279,American Express Co
001447,59176,01,2010/11/30,4.2451,American Express Co
001447,59176,01,2010/12/31,-0.6941,American Express Co
001447,59176,01,2011/01/31,1.4911,American Express Co
001447,59176,01,2011/02/28,0.4380,American Express Co
001447,59176,01,2011/03/31,3.7411,American Express Co
001447,59176,01,2011/04/30,8.9823,American Express Co
001447,59176,01,2011/05/31,5.1345,American Express Co
001447,59176,01,2011/06/30,0.5426,American Express Co
001447,59176,01,2011/07/31,-3.2108,American Express Co
001447,59176,01,2011/08/31,-0.6595,American Express Co
001447,59176,01,2011/09/30,-9.6761,American Express Co
001447,59176,01,2011/10/31,13.1403,American Express Co
001447,59176,01,2011/11/30,-5.0968,American Express Co
001447,59176,01,2011/12/31,-1.8110,American Express Co
001447,59176,01,2012/01/31,6.6780,American Express Co
001447,59176,01,2012/02/29,5.4846,American Express Co
001447,59176,01,2012/03/31,9.3969,American Express Co
001447,59176,01,2012/04/30,4.4072,American Express Co
001447,59176,01,2012/05/31,-7.2745,American Express Co
001447,59176,01,2012/06/30,4.2629,American Express Co
001447,59176,01,2012/07/31,-0.5154,American Express Co
001447,59176,01,2012/08/31,1.0224,American Express Co
001447,59176,01,2012/09/30,-2.4700,American Express Co
001447,59176,01,2012/10/31,-1.2135,American Express Co
001447,59176,01,2012/11/30,-0.1251,American Express Co
001447,59176,01,2012/12/31,2.8265,American Express Co
001447,59176,01,2013/01/31,2.6618,American Express Co
001447,59176,01,2013/02/28,5.6793,American Express Co
001447,59176,01,2013/03/31,8.5438,American Express Co
001447,59176,01,2013/04/30,1.7047,American Express Co
001447,59176,01,2013/05/31,10.6710,American Express Co
001447,59176,01,2013/06/30,-1.2548,American Express Co
001447,59176,01,2013/07/31,-1.0166,American Express Co
001447,59176,01,2013/08/31,-2.5214,American Express Co
001447,59176,01,2013/09/30,5.0202,American Express Co
001447,59176,01,2013/10/31,8.6202,American Express Co
001447,59176,01,2013/11/30,4.8900,American Express Co
001447,59176,01,2013/12/31,5.7459,American Express Co
001447,59176,01,2014/01/31,-6.0399,American Express Co
001447,59176,01,2014/02/28,7.3630,American Express Co
001447,59176,01,2014/03/31,-1.3694,American Express Co
001447,59176,01,2014/04/30,-2.6325,American Express Co
001447,59176,01,2014/05/31,4.6552,American Express Co
001447,59176,01,2014/06/30,3.6831,American Express Co
001447,59176,01,2014/07/31,-6.9674,American Express Co
001447,59176,01,2014/08/31,1.7614,American Express Co
001447,59176,01,2014/09/30,-2.2446,American Express Co
001447,59176,01,2014/10/31,3.0500,American Express Co
001447,59176,01,2014/11/30,2.7460,American Express Co
001447,59176,01,2014/12/31,0.6709,American Express Co
001447,59176,01,2015/01/31,-12.9944,American Express Co
001447,59176,01,2015/02/28,1.1154,American Express Co
001447,59176,01,2015/03/31,-3.9343,American Express Co
001447,59176,01,2015/04/30,-0.8577,American Express Co
001447,59176,01,2015/05/31,2.9309,American Express Co
001447,59176,01,2015/06/30,-2.1450,American Express Co
001447,59176,01,2015/07/31,-2.1359,American Express Co
001447,59176,01,2015/08/31,0.8677,American Express Co
001447,59176,01,2015/09/30,-3.3759,American Express Co
001447,59176,01,2015/10/31,-0.7824,American Express Co
001447,59176,01,2015/11/30,-2.2113,American Express Co
001447,59176,01,2015/12/31,-2.9174,American Express Co
001447,59176,01,2016/01/31,-22.6600,American Express Co
001447,59176,01,2016/02/29,3.8879,American Express Co
001447,59176,01,2016/03/31,10.4714,American Express Co
001447,59176,01,2016/04/30,7.0358,American Express Co
001447,59176,01,2016/05/31,0.5044,American Express Co
001447,59176,01,2016/06/30,-7.1624,American Express Co
001447,59176,01,2016/07/31,6.0895,American Express Co
001447,59176,01,2016/08/31,1.7375,American Express Co
001447,59176,01,2016/09/30,-2.3483,American Express Co
001447,59176,01,2016/10/31,4.2161,American Express Co
001447,59176,01,2016/11/30,8.4613,American Express Co
001447,59176,01,2016/12/31,2.8318,American Express Co
001690,14593,01,2010/01/31,-8.8591,Apple Inc
001690,14593,01,2010/02/28,6.5380,Apple Inc
001690,14593,01,2010/03/31,14.8470,Apple Inc
001690,14593,01,2010/04/30,11.1021,Apple Inc
001690,14593,01,2010/05/31,-1.6125,Apple Inc
001690,14593,01,2010/06/30,-2.0827,Apple Inc
001690,14593,01,2010/07/31,2.2741,Apple Inc
001690,14593,01,2010/08/31,-5.5005,Apple Inc
001690,14593,01,2010/09/30,16.7215,Apple Inc
001690,14593,01,2010/10/31,6.0722,Apple Inc
001690,14593,01,2010/11/30,3.3790,Apple Inc
001690,14593,01,2010/12/31,3.6670,Apple Inc
001690,14593,01,2011/01/31,5.1959,Apple Inc
001690,14593,01,2011/02/28,4.0935,Apple Inc
001690,14593,01,2011/03/31,-1.3314,Apple Inc
001690,14593,01,2011/04/30,0.4656,Apple Inc
001690,14593,01,2011/05/31,-0.6569,Apple Inc
001690,14593,01,2011/06/30,-3.4960,Apple Inc
001690,14593,01,2011/07/31,16.3285,Apple Inc
001690,14593,01,2011/08/31,-1.4469,Apple Inc
001690,14593,01,2011/09/30,-0.9121,Apple Inc
001690,14593,01,2011/10/31,6.1523,Apple Inc
001690,14593,01,2011/11/30,-5.5783,Apple Inc
001690,14593,01,2011/12/31,5.9655,Apple Inc
001690,14593,01,2012/01/31,12.7111,Apple Inc
001690,14593,01,2012/02/29,18.8311,Apple Inc
001690,14593,01,2012/03/31,10.5284,Apple Inc
001690,14593,01,2012/04/30,-2.5969,Apple Inc
001690,14593,01,2012/05/31,-1.0702,Apple Inc
001690,14593,01,2012/06/30,1.0853,Apple Inc
001690,14593,01,2012/07/31,4.5822,Apple Inc
001690,14593,01,2012/08/31,9.3539,Apple Inc
001690,14593,01,2012/09/30,0.2803,Apple Inc
001690,14593,01,2012/10/31,-10.7607,Apple Inc
001690,14593,01,2012/11/30,-1.2413,Apple Inc
001690,14593,01,2012/12/31,-9.0738,Apple Inc
001690,14593,01,2013/01/31,-14.4094,Apple Inc
001690,14593,01,2013/02/28,-2.5116,Apple Inc
001690,14593,01,2013/03/31,0.2855,Apple Inc
001690,14593,01,2013/04/30,0.0271,Apple Inc
001690,14593,01,2013/05/31,2.2596,Apple Inc
001690,14593,01,2013/06/30,-11.8303,Apple Inc
001690,14593,01,2013/07/31,14.1225,Apple Inc
001690,14593,01,2013/08/31,8.3389,Apple Inc
001690,14593,01,2013/09/30,-2.1481,Apple Inc
001690,14593,01,2013/10/31,9.6386,Apple Inc
001690,14593,01,2013/11/30,6.9673,Apple Inc
001690,14593,01,2013/12/31,0.8902,Apple Inc
001690,14593,01,2014/01/31,-10.7697,Apple Inc
001690,14593,01,2014/02/28,5.7311,Apple Inc
001690,14593,01,2014/03/31,1.9953,Apple Inc
001690,14593,01,2014/04/30,9.9396,Apple Inc
001690,14593,01,2014/05/31,7.8293,Apple Inc
001690,14593,01,2014/06/30,2.7662,Apple Inc
001690,14593,01,2014/07/31,2.8731,Apple Inc
001690,14593,01,2014/08/31,7.7092,Apple Inc
001690,14593,01,2014/09/30,-1.7073,Apple Inc
001690,14593,01,2014/10/31,7.1960,Apple Inc
001690,14593,01,2014/11/30,10.5556,Apple Inc
001690,14593,01,2014/12/31,-7.1891,Apple Inc
001690,14593,01,2015/01/31,6.1424,Apple Inc
001690,14593,01,2015/02/28,10.0461,Apple Inc
001690,14593,01,2015/03/31,-3.1372,Apple Inc
001690,14593,01,2015/04/30,0.5786,Apple Inc
001690,14593,01,2015/05/31,4.5146,Apple Inc
001690,14593,01,2015/06/30,-3.7266,Apple Inc
001690,14593,01,2015/07/31,-3.2888,Apple Inc
001690,14593,01,2015/08/31,-6.6117,Apple Inc
001690,14593,01,2015/09/30,-2.1816,Apple Inc
001690,14593,01,2015/10/31,8.3409,Apple Inc
001690,14593,01,2015/11/30,-0.5690,Apple Inc
001690,14593,01,2015/12/31,-11.0228,Apple Inc
001690,14593,01,2016/01/31,-7.5242,Apple Inc
001690,14593,01,2016/02/29,-0.1336,Apple Inc
001690,14593,01,2016/03/31,12.7211,Apple Inc
001690,14593,01,2016/04/30,-13.9921,Apple Inc
001690,14593,01,2016/05/31,7.1368,Apple Inc
001690,14593,01,2016/06/30,-4.2660,Apple Inc
001690,14593,01,2016/07/31,9.0063,Apple Inc
001690,14593,01,2016/08/31,2.3606,Apple Inc
001690,14593,01,2016/09/30,6.5504,Apple Inc
001690,14593,01,2016/10/31,0.4334,Apple Inc
001690,14593,01,2016/11/30,-2.1578,Apple Inc
001690,14593,01,2016/12/31,4.7955,Apple Inc
002136,65875,01,2010/01/31,-9.7646,Verizon Communications Inc
002136,65875,01,2010/02/28,-1.6655,Verizon Communications Inc
002136,65875,01,2010/03/31,7.2243,Verizon Communications Inc
002136,65875,01,2010/04/30,-5.3030,Verizon Communications Inc
002136,65875,01,2010/05/31,-4.7751,Verizon Communications Inc
002136,65875,01,2010/06/30,1.8169,Verizon Communications Inc
002136,65875,01,2010/07/31,11.7709,Verizon Communications Inc
002136,65875,01,2010/08/31,1.6173,Verizon Communications Inc
002136,65875,01,2010/09/30,10.3623,Verizon Communications Inc
002136,65875,01,2010/10/31,1.1583,Verizon Communications Inc
002136,65875,01,2010/11/30,-1.4470,Verizon Communications Inc
002136,65875,01,2010/12/31,11.7776,Verizon Communications Inc
002136,65875,01,2011/01/31,0.9153,Verizon Communications Inc
002136,65875,01,2011/02/28,3.6496,Verizon Communications Inc
002136,65875,01,2011/03/31,4.3879,Verizon Communications Inc
002136,65875,01,2011/04/30,-0.7071,Verizon Communications Inc
002136,65875,01,2011/05/31,-2.2499,Verizon Communications Inc
002136,65875,01,2011/06/30,0.8123,Verizon Communications Inc
002136,65875,01,2011/07/31,-3.9014,Verizon Communications Inc
002136,65875,01,2011/08/31,2.4795,Verizon Communications Inc
002136,65875,01,2011/09/30,1.7558,Verizon Communications Inc
002136,65875,01,2011/10/31,1.8478,Verizon Communications Inc
002136,65875,01,2011/11/30,2.0281,Verizon Communications Inc
002136,65875,01,2011/12/31,6.3345,Verizon Communications Inc
002136,65875,01,2012/01/31,-4.8853,Verizon Communications Inc
002136,65875,01,2012/02/29,1.1949,Verizon Communications Inc
002136,65875,01,2012/03/31,0.3149,Verizon Communications Inc
002136,65875,01,2012/04/30,6.9317,Verizon Communications Inc
002136,65875,01,2012/05/31,3.1204,Verizon Communications Inc
002136,65875,01,2012/06/30,6.7243,Verizon Communications Inc
002136,65875,01,2012/07/31,2.7003,Verizon Communications Inc
002136,65875,01,2012/08/31,-4.8737,Verizon Communications Inc
